# Answer key for data/dataset/primele_10_grile_pag2_curatate.json
# Format: <id>: <letters>, supports multiple correct answers (e.g., 601: A,C)
521: A,C,D
522: C,D
523: E
524: C
525: A
526: A
527: A
528: D
529: C
530: A
532: D
533: C
534: D
535: C
536: B
537: A
538: A
539: C
540: C
541: E
542: E
543: D
544: A
545: D
546: A
547: C
548: D
549: C
551: A
552: C
553: C
555: B
556: B
557: C
558: D
559: D
560: D
607: A
608: E
609: C
610: D
611: B
612: C
613: C
614: B
615: D
616: E
621: C
622: E
623: B
624: C
625: B
626: D
627: D
628: D
629: A
630: A
631: C
632: C
633: D
634: C
635: C
636: E
637: D
102: A
103: C
105: A
106: E
107: B
108: C,D
109: A,C,E
110: E 
112: E
113: A
151: A
152: B
153: B
154: D
160: C,E 
161: B
162: D
163: E
164: C
165: A
652: B
653: D
654: D
655: E
656: C
657: B
658: B
659: A
122: B
123: C
124: E
125: D
126: C
127: B
128: B
606: B
